==33294== NVPROF is profiling process 33294, command: ./butterfly.bin ../dataset/twitter/
==33294== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==33294== Profiling application: ./butterfly.bin ../dataset/twitter/
==33294== Profiling result:
==33294== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM2-32GB (0)"
    Kernel: butterflyCounting(__int64*, int*, int, int, __int64*, int*)
          1                             inst_per_warp                                            Instructions per warp  1.5606e+08  1.5606e+08  1.5606e+08
          1                         branch_efficiency                                                Branch Efficiency      99.96%      99.96%      99.96%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      99.96%      99.96%      99.96%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      96.97%      96.97%      96.97%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.000557    0.000557    0.000557
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    3.695494    3.695494    3.695494
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    6.351082    6.351082    6.351082
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    4.313481    4.313481    4.313481
          1              gst_transactions_per_request                            Global Store Transactions Per Request    4.901204    4.901204    4.901204
          1                 shared_store_transactions                                        Shared Store Transactions     2243253     2243253     2243253
          1                  shared_load_transactions                                         Shared Load Transactions     2610083     2610083     2610083
          1                   local_load_transactions                                          Local Load Transactions           0           0           0
          1                  local_store_transactions                                         Local Store Transactions           0           0           0
          1                          gld_transactions                                         Global Load Transactions  4.2353e+10  4.2353e+10  4.2353e+10
          1                          gst_transactions                                        Global Store Transactions  4.7809e+10  4.7809e+10  4.7809e+10
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions  4.7641e+10  4.7641e+10  4.7641e+10
          1                     l2_write_transactions                                            L2 Write Transactions  4.7830e+10  4.7830e+10  4.7830e+10
          1                    dram_read_transactions                                  Device Memory Read Transactions  3.9476e+10  3.9476e+10  3.9476e+10
          1                   dram_write_transactions                                 Device Memory Write Transactions  4.0484e+10  4.0484e+10  4.0484e+10
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      53.35%      53.35%      53.35%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                 Requested Global Load Throughput  68.990GB/s  68.990GB/s  68.990GB/s
          1                  gst_requested_throughput                                Requested Global Store Throughput  68.970GB/s  68.970GB/s  68.970GB/s
          1                            gld_throughput                                           Global Load Throughput  74.867GB/s  74.867GB/s  74.867GB/s
          1                            gst_throughput                                          Global Store Throughput  84.512GB/s  84.512GB/s  84.512GB/s
          1                     local_memory_overhead                                            Local Memory Overhead      55.92%      55.92%      55.92%
          1                        tex_cache_hit_rate                                           Unified Cache Hit Rate       0.32%       0.32%       0.32%
          1                      l2_tex_read_hit_rate                                      L2 Hit Rate (Texture Reads)      27.53%      27.53%      27.53%
          1                     l2_tex_write_hit_rate                                     L2 Hit Rate (Texture Writes)      99.98%      99.98%      99.98%
