,block,warp
0,13.101,0.347813
1,0.260394,0.15933
2,0.221187,0.154555
3,0.243155,0.162994
4,0.214287,0.17804
5,0.200598,0.186158
6,0.216383,0.184587
7,0.202749,0.21752
8,0.197587,0.24217
9,0.202636,0.173025
10,0.193566,0.194137
11,0.208293,0.218842
12,0.194724,0.22985
13,0.188072,0.247937
14,0.212995,0.266397
15,0.195425,0.287442
16,0.189036,0.294173
17,0.211757,0.3108
18,0.193882,0.329934
19,0.190742,0.332769
20,0.205384,0.335468
21,0.194706,0.347329
22,0.206135,0.363761
23,0.197742,0.361914
24,0.198714,0.365901
25,0.213846,0.377657
26,0.203408,0.382289
27,0.21144,0.381846
28,0.208546,0.388646
29,0.209333,0.39187
30,0.223105,0.400872
31,0.217877,0.399419
32,0.342942,0.0
