,block,warp
0,0.762288,0.334986
1,0.0945179,0.141707
2,0.071424,0.126467
3,0.0660501,0.1363
4,0.0621111,0.132463
5,0.0582631,0.138455
6,0.0542691,0.141381
7,0.051542,0.139204
8,0.0481951,0.140032
9,0.0456481,0.145943
10,0.0435379,0.15659
11,0.041698,0.141955
12,0.0402491,0.147788
13,0.038923,0.128948
14,0.037878,0.138513
15,0.036979,0.14119
16,0.035861,0.153824
17,0.0354199,0.162246
18,0.0346539,0.14175
19,0.0339279,0.108718
20,0.0334949,0.105042
21,0.0335791,0.110396
22,0.0330372,0.112328
23,0.0325789,0.115004
24,0.0322189,0.11426
25,0.0321259,0.122372
26,0.0315568,0.117052
27,0.0315201,0.120512
28,0.0311961,0.124437
29,0.0311971,0.122254
30,0.0309889,0.119739
31,0.0309272,0.12326
32,0.079056,0.0
