,block,warp
0,6.1739,0.123583
1,0.171697,0.114788
2,0.127663,0.106119
3,0.121065,0.120094
4,0.120299,0.13659
5,0.0733345,0.0997918
6,0.0787981,0.0707617
7,0.0751264,0.0877619
8,0.0756383,0.101534
9,0.0749617,0.116737
10,0.0729337,0.131205
11,0.0832112,0.144927
12,0.077282,0.153283
13,0.0750895,0.166954
14,0.0856864,0.181929
15,0.0783536,0.19681
16,0.0770035,0.205185
17,0.0807161,0.217468
18,0.0791087,0.231441
19,0.0809431,0.245802
20,0.0818412,0.25311
21,0.0755489,0.26647
22,0.0849171,0.286544
23,0.0747025,0.29177
24,0.0730424,0.298054
25,0.0831895,0.316034
26,0.0800924,0.33243
27,0.0775568,0.342403
28,0.0796731,0.356027
29,0.0818079,0.367024
30,0.081809,0.383987
31,0.0807915,0.396202
32,1.47496,0.0
