,block,warp
0,0.399476,0.104585
1,0.0729008,0.0745289
2,0.0498397,0.0829029
3,0.0384648,0.0905211
4,0.0390072,0.107382
5,0.0168059,0.0787838
6,0.0146377,0.0614951
7,0.0137179,0.0426672
8,0.0132341,0.04826
9,0.0128827,0.055898
10,0.0127773,0.0632539
11,0.0125909,0.068372
12,0.0125589,0.0732169
13,0.0123582,0.0786448
14,0.0123274,0.0850883
15,0.0123003,0.0886683
16,0.0140114,0.0930469
17,0.0121312,0.0977533
18,0.0120742,0.103798
19,0.012069,0.109592
20,0.0119412,0.113244
21,0.0119376,0.119098
22,0.0120454,0.127434
23,0.0120392,0.126873
24,0.011838,0.132394
25,0.0117893,0.136672
26,0.0119328,0.146877
27,0.0118406,0.148262
28,0.0117819,0.150751
29,0.0119224,0.159251
30,0.011893,0.168927
31,0.0119572,0.172414
32,0.267437,0.0
