,block,warp
0,8.68991,1.58323
1,0.348272,0.883916
2,0.229002,0.885454
3,0.197495,0.811734
4,0.162042,0.919565
5,0.145834,1.01573
6,0.14717,1.02869
7,0.129961,1.11309
8,0.124812,1.02593
9,0.122175,1.33194
10,0.112132,1.51939
11,0.112401,1.25596
12,0.104427,1.28874
13,0.0997796,1.42798
14,0.104341,1.51452
15,0.0922918,1.44417
16,0.0889733,1.27257
17,0.0943568,1.13012
18,0.0833576,1.16921
19,0.0807731,1.22061
20,0.0846238,1.26158
21,0.0756943,1.29546
22,0.078362,1.32579
23,0.0735011,1.31768
24,0.070415,1.33084
25,0.0759752,1.37801
26,0.0702012,1.44019
27,0.0689452,1.44171
28,0.0777311,1.44166
29,0.0736241,1.45282
30,0.101758,2.01439
31,0.096211,2.20189
32,1.62318,0.0
