,block,warp
0,2.1051,1.50183
1,0.364684,0.719707
2,0.269886,0.641565
3,0.234845,0.676548
4,0.209448,0.612202
5,0.191116,0.706545
6,0.178212,0.648932
7,0.163656,0.703263
8,0.150154,0.848534
9,0.141168,0.755025
10,0.130041,0.76459
11,0.118864,0.826614
12,0.110676,0.81372
13,0.10333,0.925027
14,0.093972,0.870961
15,0.087291,0.823299
16,0.0811541,0.896913
17,0.0743089,0.889067
18,0.0671611,0.927273
19,0.0615511,0.959208
20,0.0579419,0.857592
21,0.0514331,0.788819
22,0.047962,0.936495
23,0.043741,0.80708
24,0.0411761,1.03034
25,0.0385699,0.99468
26,0.0369081,1.10927
27,0.035486,1.01955
28,0.0342939,0.825
29,0.0349209,1.0204
30,0.0469799,1.11993
31,0.0334311,1.09276
32,1.01025,0.0
