,block,warp
0,219.42,0.419779
1,0.824402,0.0890117
2,0.754025,0.0740845
3,1.3186,0.0579505
4,0.739904,0.0589869
5,0.77871,0.0685737
6,1.02595,0.081162
7,0.716367,0.0973873
8,0.772911,0.104134
9,0.912412,0.118825
10,0.711457,0.13083
11,1.07038,0.145873
12,0.854726,0.151924
13,0.716504,0.159566
14,1.12395,0.170106
15,0.811782,0.176428
16,0.741978,0.191559
17,1.08975,0.204139
18,0.743182,0.217454
19,0.790044,0.218525
20,1.09152,0.224266
21,0.78703,0.230591
22,0.928543,0.251803
23,0.896793,0.246245
24,0.965234,0.253632
25,1.24757,0.255919
26,1.08518,0.254216
27,1.17686,0.285354
28,1.23645,0.289953
29,1.31016,0.2927
30,1.39689,0.312791
31,1.39226,0.3241
32,30.7809,0.0
