,block,warp
0,5.03019,0.296392
1,0.0608101,0.0588429
2,0.036267,0.0389938
3,0.0290232,0.0289559
4,0.0262854,0.0230968
5,0.0246387,0.022141
6,0.0239949,0.021107
7,0.0229936,0.0191081
8,0.0229468,0.0199671
9,0.0222077,0.0237191
10,0.0220525,0.016031
11,0.0226209,0.0170331
12,0.0218747,0.017339
13,0.0219941,0.031328
14,0.0220716,0.0191569
15,0.0218291,0.02091
16,0.0210466,0.025193
17,0.0213463,0.0242541
18,0.0209227,0.0253749
19,0.0213232,0.0261879
20,0.021116,0.0256672
21,0.0207343,0.0275071
22,0.0211596,0.028908
23,0.0207601,0.0294831
24,0.0209136,0.0300889
25,0.0209618,0.032599
26,0.0208626,0.0318429
27,0.020565,0.0325871
28,0.02068,0.0327671
29,0.0204077,0.0329509
30,0.0209537,0.036458
31,0.0206549,0.0366118
32,1.01218,0.0
